epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6011,2.19559,3.70001,1.7822,0.61008,0.40925,0.35798,0.13637,2.20636,2.47704,1.76407,0.000236965,0.000236965,0.000236965
2,51.5699,2.07644,2.18615,1.70323,0.57868,0.38995,0.34754,0.14749,2.18031,2.33067,1.82564,0.000451454,0.000451454,0.000451454
3,74.4819,2.06427,2.05408,1.70953,0.67754,0.42385,0.41741,0.1856,2.15464,1.97311,1.72534,0.000642382,0.000642382,0.000642382
4,97.2824,1.99232,1.94362,1.64652,0.6085,0.42035,0.42134,0.18531,2.07806,1.95754,1.72359,0.000607971,0.000607971,0.000607971
5,120.047,1.95056,1.88863,1.62378,0.51179,0.51234,0.50406,0.22398,2.03283,1.79787,1.62742,0.000572628,0.000572628,0.000572628
6,142.621,1.89554,1.81687,1.61,0.54787,0.54027,0.51864,0.23094,1.96952,1.73537,1.6007,0.000537285,0.000537285,0.000537285
7,164.593,1.85189,1.78133,1.59101,0.43029,0.58903,0.51145,0.22564,1.96293,1.73409,1.58965,0.000501942,0.000501942,0.000501942
8,187.774,1.86316,1.69905,1.54864,0.49437,0.57879,0.58125,0.2685,1.92906,1.59503,1.53758,0.000466599,0.000466599,0.000466599
9,210.628,1.82531,1.66567,1.52981,0.61378,0.60679,0.60198,0.27348,1.89766,1.51591,1.52182,0.000431256,0.000431256,0.000431256
10,232.725,1.8143,1.61518,1.51327,0.46782,0.60299,0.55992,0.26857,1.91922,1.59411,1.52481,0.000395913,0.000395913,0.000395913
11,256.388,1.91423,1.62263,1.55238,0.6434,0.56973,0.60565,0.26292,1.96525,1.53651,1.5987,0.00036057,0.00036057,0.00036057
12,278.99,1.90619,1.57547,1.5346,0.52643,0.62,0.60645,0.28782,1.90089,1.58785,1.53617,0.000325227,0.000325227,0.000325227
13,301.384,1.87194,1.54854,1.52905,0.64725,0.56543,0.59815,0.27376,1.94224,1.47912,1.54215,0.000289884,0.000289884,0.000289884
14,323.006,1.84821,1.4944,1.49648,0.59597,0.61941,0.631,0.29888,1.84063,1.41185,1.49261,0.000254541,0.000254541,0.000254541
15,345.643,1.8093,1.41943,1.48667,0.61805,0.60007,0.63359,0.30141,1.88182,1.40495,1.48147,0.000219198,0.000219198,0.000219198
16,368.042,1.79166,1.37991,1.4652,0.62554,0.62875,0.64814,0.30908,1.84149,1.39976,1.47624,0.000183855,0.000183855,0.000183855
17,389.887,1.76288,1.34059,1.43716,0.60054,0.69329,0.63394,0.30561,1.87539,1.39784,1.4913,0.000148512,0.000148512,0.000148512
18,412.39,1.73835,1.29599,1.42875,0.63368,0.63819,0.65304,0.31419,1.85416,1.33376,1.48882,0.000113169,0.000113169,0.000113169
19,434.974,1.71804,1.26701,1.41954,0.66719,0.66989,0.68858,0.32327,1.85106,1.33679,1.49632,7.7826e-05,7.7826e-05,7.7826e-05
20,457.563,1.6684,1.22848,1.38541,0.67952,0.65511,0.6859,0.32827,1.83593,1.28782,1.47727,4.2483e-05,4.2483e-05,4.2483e-05
