epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5389,2.69069,4.59655,2.23299,0.53614,0.32755,0.31356,0.12742,2.18433,2.29994,1.90834,0.000237761,0.000237761,0.000237761
2,170.238,2.57068,3.34559,2.1388,0.52067,0.35142,0.32435,0.13817,2.33223,2.35958,2.02632,0.000475579,0.000475579,0.000475579
3,251.947,2.54059,3.3226,2.14105,0.58329,0.35687,0.33673,0.12763,2.18047,2.28332,1.91168,0.000712671,0.000712671,0.000712671
4,332.944,2.49375,3.2753,2.11468,0.61597,0.40736,0.38031,0.16631,2.10578,2.16035,1.91435,0.00071155,0.00071155,0.00071155
5,413.898,2.46007,3.21515,2.07693,0.69113,0.39042,0.41631,0.16556,2.10821,2.11329,1.83809,0.000709649,0.000709649,0.000709649
6,494.109,2.39066,3.07999,2.02145,0.5911,0.45437,0.41266,0.18043,2.05151,1.9862,1.76206,0.000707209,0.000707209,0.000707209
7,575.865,2.37338,3.07054,2.01529,0.54729,0.46357,0.39691,0.17178,2.13637,1.98243,1.81678,0.000704235,0.000704235,0.000704235
8,656.058,2.3798,3.07142,1.9919,0.58903,0.46179,0.4301,0.1928,2.05963,1.89603,1.76703,0.000700731,0.000700731,0.000700731
9,737.621,2.34385,3.0056,1.96985,0.43325,0.44963,0.39754,0.18372,2.04515,1.95308,1.7798,0.000696702,0.000696702,0.000696702
10,818.039,2.3198,2.9516,1.93869,0.55543,0.48344,0.45123,0.18925,2.04546,1.89931,1.78235,0.000692155,0.000692155,0.000692155
11,899.525,2.30895,2.93529,1.94632,0.3841,0.51439,0.44384,0.19307,2.00617,1.86705,1.71446,0.000687097,0.000687097,0.000687097
12,981.007,2.30171,2.91433,1.93776,0.61108,0.44584,0.44014,0.19912,2.02332,1.87423,1.76193,0.000681535,0.000681535,0.000681535
13,1063.02,2.27524,2.88256,1.92083,0.68454,0.42974,0.44905,0.18653,2.20605,1.90953,1.9246,0.000675478,0.000675478,0.000675478
14,1143.97,2.25618,2.83465,1.91375,0.50563,0.47508,0.46228,0.21338,2.01209,1.8309,1.74945,0.000668936,0.000668936,0.000668936
15,1225.43,2.23521,2.81938,1.90668,0.56036,0.52624,0.49917,0.21272,1.97466,1.81136,1.7267,0.000661919,0.000661919,0.000661919
16,1307.39,2.23697,2.79652,1.9034,0.46517,0.54193,0.5084,0.24213,1.89376,1.85667,1.70859,0.000654436,0.000654436,0.000654436
17,1388.8,2.2013,2.75074,1.8651,0.65911,0.48143,0.48574,0.2236,1.99995,1.77319,1.74336,0.000646501,0.000646501,0.000646501
18,1469.72,2.21327,2.74651,1.87312,0.57765,0.52271,0.52438,0.25393,1.85993,1.71257,1.66911,0.000638125,0.000638125,0.000638125
19,1550.58,2.21986,2.76861,1.89398,0.53712,0.52482,0.50456,0.23287,1.96414,1.70683,1.66659,0.00062932,0.00062932,0.00062932
20,1631.45,2.2063,2.71684,1.86174,0.48505,0.48617,0.48938,0.23757,1.92759,1.74376,1.7134,0.000620102,0.000620102,0.000620102
21,1712.66,2.19814,2.71554,1.86397,0.43898,0.55829,0.49163,0.22277,1.98887,1.73217,1.71729,0.000610483,0.000610483,0.000610483
22,1792.74,2.1628,2.66581,1.85218,0.6171,0.50752,0.51002,0.23792,1.90774,1.65724,1.6738,0.000600479,0.000600479,0.000600479
23,1873.03,2.17211,2.6671,1.84662,0.64356,0.4745,0.53703,0.23516,2.04075,1.63459,1.73926,0.000590104,0.000590104,0.000590104
24,1953.01,2.14584,2.64623,1.83022,0.51155,0.57155,0.52982,0.25484,1.93258,1.62666,1.65851,0.000579376,0.000579376,0.000579376
25,2033.87,2.15062,2.65611,1.84382,0.63634,0.54053,0.53419,0.25328,1.89074,1.612,1.67975,0.000568311,0.000568311,0.000568311
26,2113.82,2.13288,2.6461,1.83677,0.59114,0.56135,0.53201,0.2459,1.87803,1.61232,1.64123,0.000556925,0.000556925,0.000556925
27,2195.17,2.12983,2.58569,1.81063,0.54997,0.6367,0.56504,0.26716,1.90021,1.57183,1.64249,0.000545237,0.000545237,0.000545237
28,2276.22,2.11901,2.56092,1.81149,0.53082,0.57296,0.54587,0.26751,1.89236,1.59437,1.65339,0.000533263,0.000533263,0.000533263
29,2357.57,2.11457,2.58066,1.80479,0.67305,0.49803,0.56613,0.27871,1.86969,1.57195,1.6248,0.000521024,0.000521024,0.000521024
30,2438.54,2.12601,2.58276,1.81246,0.50401,0.5834,0.58769,0.28697,1.83629,1.54332,1.61348,0.000508537,0.000508537,0.000508537
31,2518.36,2.09448,2.52396,1.79732,0.52691,0.63553,0.60826,0.29772,1.82619,1.52567,1.60316,0.000495822,0.000495822,0.000495822
32,2600.85,2.08483,2.50974,1.79613,0.55069,0.67439,0.61959,0.29453,1.83446,1.53467,1.6312,0.000482898,0.000482898,0.000482898
33,2681.39,2.07942,2.51354,1.77764,0.55147,0.60979,0.58719,0.28224,1.83855,1.5084,1.62616,0.000469786,0.000469786,0.000469786
34,2762.41,2.0902,2.54235,1.79071,0.58527,0.58297,0.59979,0.297,1.83095,1.48298,1.6056,0.000456505,0.000456505,0.000456505
35,2843.97,2.07516,2.50593,1.77383,0.60032,0.53612,0.59702,0.30431,1.79819,1.46323,1.58426,0.000443077,0.000443077,0.000443077
36,2924.59,2.08122,2.53559,1.77939,0.6264,0.55782,0.59579,0.29541,1.82887,1.49386,1.60179,0.000429521,0.000429521,0.000429521
37,3005.42,2.06732,2.49196,1.79092,0.56628,0.61753,0.61061,0.29879,1.79558,1.43903,1.57664,0.000415859,0.000415859,0.000415859
38,3086.05,2.01644,2.41429,1.7408,0.57622,0.63074,0.60893,0.29786,1.82947,1.44122,1.6078,0.000402111,0.000402111,0.000402111
39,3166.13,2.02589,2.40598,1.7434,0.57492,0.62831,0.61264,0.30979,1.76147,1.43145,1.57344,0.0003883,0.0003883,0.0003883
40,3246.46,2.01444,2.38739,1.72935,0.58464,0.66134,0.63653,0.32445,1.77461,1.42507,1.57209,0.000374446,0.000374446,0.000374446
41,3327.98,2.01171,2.39398,1.73553,0.52806,0.67185,0.62132,0.31703,1.8031,1.39042,1.59306,0.00036057,0.00036057,0.00036057
42,3408.44,1.99399,2.36682,1.73377,0.57866,0.64164,0.6078,0.31185,1.80395,1.42563,1.59263,0.000346694,0.000346694,0.000346694
43,3489.39,2.00219,2.37986,1.72591,0.58152,0.6476,0.64763,0.32952,1.81027,1.38007,1.58408,0.00033284,0.00033284,0.00033284
44,3569.86,2.00352,2.35012,1.72623,0.58521,0.63742,0.63204,0.32544,1.76674,1.40316,1.57713,0.000319029,0.000319029,0.000319029
45,3650.31,1.97917,2.32542,1.7049,0.58376,0.64454,0.62503,0.32069,1.77771,1.38237,1.58044,0.000305281,0.000305281,0.000305281
46,3730.88,1.9512,2.29993,1.69772,0.60714,0.65421,0.64813,0.33895,1.75217,1.37473,1.55732,0.000291619,0.000291619,0.000291619
47,3812.77,1.95423,2.29799,1.70113,0.59528,0.65367,0.64857,0.33508,1.76762,1.36193,1.56909,0.000278063,0.000278063,0.000278063
48,3895.08,1.96751,2.31981,1.70216,0.6926,0.60531,0.64525,0.32086,1.79937,1.38293,1.60496,0.000264635,0.000264635,0.000264635
49,3976.25,1.93553,2.24838,1.6762,0.63583,0.62675,0.65115,0.32941,1.78678,1.35174,1.58804,0.000251354,0.000251354,0.000251354
50,4057.36,1.93467,2.25006,1.67921,0.60667,0.67839,0.65775,0.34191,1.77971,1.32973,1.58054,0.000238242,0.000238242,0.000238242
51,4137.91,1.94454,2.24288,1.68441,0.59436,0.59855,0.61369,0.31424,1.78065,1.38894,1.58616,0.000225318,0.000225318,0.000225318
52,4218.19,1.92446,2.23853,1.68042,0.59627,0.63,0.63648,0.32565,1.77772,1.35812,1.58641,0.000212603,0.000212603,0.000212603
53,4299.11,1.91549,2.2126,1.66985,0.63269,0.65024,0.64668,0.32997,1.7885,1.34474,1.58999,0.000200116,0.000200116,0.000200116
54,4379.52,1.91975,2.24056,1.66593,0.62052,0.64328,0.64314,0.32241,1.76827,1.35085,1.57965,0.000187877,0.000187877,0.000187877
55,4460.98,1.89368,2.20902,1.65758,0.61276,0.6964,0.64802,0.33551,1.77347,1.32641,1.57461,0.000175903,0.000175903,0.000175903
56,4540.44,1.89387,2.17634,1.66032,0.58895,0.62504,0.63797,0.33365,1.75059,1.34543,1.57833,0.000164215,0.000164215,0.000164215
57,4621.83,1.87713,2.15794,1.63544,0.66511,0.64566,0.63966,0.33257,1.77788,1.30614,1.57727,0.000152829,0.000152829,0.000152829
58,4701.9,1.8768,2.15081,1.64648,0.64531,0.6639,0.65397,0.34299,1.77818,1.29489,1.57923,0.000141764,0.000141764,0.000141764
59,4783.78,1.87691,2.14265,1.64102,0.64268,0.66821,0.66324,0.34875,1.78001,1.2953,1.5805,0.000131036,0.000131036,0.000131036
60,4864.96,1.86795,2.13786,1.63256,0.64803,0.6462,0.65461,0.34414,1.78024,1.30912,1.56329,0.000120661,0.000120661,0.000120661
61,4946.71,1.8635,2.14284,1.64246,0.64459,0.66781,0.64955,0.3327,1.7858,1.3059,1.58964,0.000110657,0.000110657,0.000110657
62,5028.53,1.85631,2.12524,1.62306,0.66421,0.67657,0.65521,0.33611,1.78093,1.3056,1.57595,0.000101038,0.000101038,0.000101038
63,5109.84,1.83402,2.11793,1.61176,0.61719,0.6654,0.64544,0.33762,1.77471,1.29849,1.57811,9.18197e-05,9.18197e-05,9.18197e-05
64,5192.18,1.8126,2.06106,1.59919,0.67234,0.66487,0.64858,0.33355,1.76954,1.29491,1.56547,8.30154e-05,8.30154e-05,8.30154e-05
65,5273.99,1.83353,2.08794,1.61447,0.65169,0.62839,0.63868,0.33282,1.75583,1.29204,1.56795,7.46391e-05,7.46391e-05,7.46391e-05
