epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4682,2.25684,3.03537,1.8445,0.66932,0.26673,0.27313,0.1123,2.29337,2.68843,1.8416,0.000237481,0.000237481,0.000237481
2,106.532,2.23688,2.39639,1.83815,0.36275,0.34901,0.29263,0.11831,2.20291,3.18284,1.90297,0.000466067,0.000466067,0.000466067
3,156.719,2.17327,2.31544,1.83246,0.77955,0.28818,0.29182,0.11783,2.23933,2.53714,1.83319,0.000685228,0.000685228,0.000685228
4,202.837,2.12674,2.24266,1.78308,0.66349,0.3164,0.34105,0.1453,2.16808,2.2402,1.826,0.000671588,0.000671588,0.000671588
5,249.334,2.09833,2.12157,1.77909,0.29759,0.47104,0.38813,0.16196,2.08272,1.96691,1.73072,0.000657451,0.000657451,0.000657451
6,297.238,2.02221,2.02468,1.72284,0.49472,0.48115,0.39361,0.17208,2.04694,2.02188,1.70599,0.000643314,0.000643314,0.000643314
7,343.971,2.00133,1.98228,1.70036,0.6219,0.46124,0.44216,0.19143,2.02313,1.90857,1.69973,0.000629177,0.000629177,0.000629177
8,390.94,1.97241,1.96151,1.68461,0.5966,0.44145,0.42388,0.19225,2.02562,1.91814,1.70191,0.00061504,0.00061504,0.00061504
9,438.734,1.91672,1.86597,1.65113,0.5315,0.50049,0.47746,0.21632,1.99709,1.82062,1.67164,0.000600902,0.000600902,0.000600902
10,485.557,1.92973,1.86161,1.64996,0.58803,0.51396,0.44669,0.20469,2.0187,1.831,1.68501,0.000586765,0.000586765,0.000586765
11,532.049,1.91145,1.8226,1.63891,0.51789,0.54608,0.46248,0.21949,1.96891,1.77577,1.64071,0.000572628,0.000572628,0.000572628
12,580.901,1.90228,1.83557,1.63995,0.55342,0.48188,0.47954,0.21951,1.99996,1.7924,1.6781,0.000558491,0.000558491,0.000558491
13,628.954,1.88304,1.80836,1.62414,0.55775,0.45527,0.44895,0.20104,2.02081,1.94533,1.6826,0.000544354,0.000544354,0.000544354
14,676.295,1.83723,1.74913,1.59738,0.53252,0.58755,0.5109,0.23698,1.96501,1.6939,1.62225,0.000530216,0.000530216,0.000530216
