epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9953,2.19559,3.70001,1.7822,0.61008,0.40925,0.35798,0.13637,2.20636,2.47704,1.76407,0.000236965,0.000236965,0.000236965
2,50.4059,2.06738,2.20105,1.71056,0.47001,0.44449,0.34795,0.15694,2.11892,2.12799,1.68547,0.000465561,0.000465561,0.000465561
3,73.5744,2.07455,2.10962,1.71695,0.66086,0.34844,0.35718,0.16083,2.16884,2.65394,1.80062,0.000684732,0.000684732,0.000684732
4,97.1537,1.99932,1.98378,1.66829,0.36856,0.46137,0.40705,0.16011,2.17329,2.20672,1.78705,0.000671588,0.000671588,0.000671588
5,119.52,1.99212,1.92281,1.65926,0.4485,0.45668,0.45049,0.1983,2.09957,1.82539,1.69323,0.000657451,0.000657451,0.000657451
6,142.586,1.92537,1.87061,1.6234,0.56324,0.55603,0.51563,0.22592,1.94352,1.76922,1.61279,0.000643314,0.000643314,0.000643314
7,165.281,1.88453,1.8082,1.60274,0.3962,0.55895,0.50495,0.23358,1.94488,1.65471,1.57518,0.000629177,0.000629177,0.000629177
8,188.451,1.89202,1.76026,1.58168,0.57703,0.52867,0.54396,0.24953,1.90065,1.65278,1.53138,0.00061504,0.00061504,0.00061504
9,211.134,1.86817,1.75153,1.56558,0.62901,0.55619,0.55872,0.26889,1.92154,1.58298,1.55021,0.000600902,0.000600902,0.000600902
10,234.017,1.84554,1.67302,1.52837,0.56915,0.57119,0.5467,0.25356,1.93385,1.64262,1.55744,0.000586765,0.000586765,0.000586765
11,256.395,1.84309,1.72696,1.56392,0.54857,0.57537,0.55184,0.26483,1.86808,1.62449,1.51932,0.000572628,0.000572628,0.000572628
12,278.616,1.81419,1.66476,1.53669,0.60231,0.52023,0.53718,0.24409,1.95487,1.67926,1.57417,0.000558491,0.000558491,0.000558491
