epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9283,2.72666,4.25289,2.06613,0.49989,0.36499,0.371,0.15017,2.16925,2.28024,1.68724,0.000237521,0.000237521,0.000237521
2,101.292,2.61049,3.07689,1.98637,0.53205,0.33784,0.34886,0.1362,2.20342,2.17085,1.84336,0.000466106,0.000466106,0.000466106
3,148.159,2.57832,3.03181,1.96957,0.55532,0.38067,0.35912,0.15275,2.13652,2.07657,1.73114,0.000685266,0.000685266,0.000685266
4,195.461,2.53727,2.98008,1.93249,0.72207,0.33281,0.40359,0.18248,2.07102,1.91529,1.64394,0.000671588,0.000671588,0.000671588
5,240.93,2.47603,2.8674,1.89869,0.54023,0.41535,0.41042,0.186,2.11773,2.01199,1.69305,0.000657451,0.000657451,0.000657451
6,286.677,2.4402,2.77527,1.85307,0.60355,0.47738,0.46648,0.21282,2.04412,1.75044,1.65392,0.000643314,0.000643314,0.000643314
7,332.588,2.39287,2.74749,1.84114,0.56678,0.45417,0.45864,0.19955,2.03522,1.80121,1.66325,0.000629177,0.000629177,0.000629177
8,378.829,2.37304,2.73176,1.82882,0.49688,0.45374,0.50534,0.22167,2.02984,1.75707,1.65655,0.00061504,0.00061504,0.00061504
9,425.061,2.34857,2.6898,1.80564,0.67205,0.50085,0.51573,0.23804,1.98403,1.68302,1.55316,0.000600902,0.000600902,0.000600902
10,470.699,2.30578,2.58304,1.78275,0.68308,0.50368,0.5419,0.25541,1.92004,1.6429,1.54972,0.000586765,0.000586765,0.000586765
11,516.628,2.28677,2.61889,1.77919,0.68423,0.5295,0.55752,0.26452,1.88947,1.60032,1.58734,0.000572628,0.000572628,0.000572628
12,562.786,2.28693,2.59259,1.76435,0.67689,0.49663,0.5442,0.25497,1.92654,1.64631,1.54038,0.000558491,0.000558491,0.000558491
13,609.073,2.25402,2.54123,1.74154,0.5792,0.5387,0.57084,0.25209,1.92967,1.578,1.5907,0.000544354,0.000544354,0.000544354
14,655.547,2.22105,2.50489,1.74218,0.60376,0.56721,0.56675,0.2636,1.88406,1.60082,1.55609,0.000530216,0.000530216,0.000530216
15,700.42,2.21665,2.49104,1.73528,0.53079,0.5833,0.58178,0.28096,1.90899,1.56826,1.55725,0.000516079,0.000516079,0.000516079
16,746.321,2.20593,2.46463,1.71385,0.58489,0.62169,0.60486,0.29436,1.88557,1.52261,1.53847,0.000501942,0.000501942,0.000501942
17,791.257,2.21515,2.43076,1.69853,0.69045,0.55678,0.59274,0.27512,1.91276,1.54562,1.55483,0.000487805,0.000487805,0.000487805
18,836.583,2.19876,2.42696,1.70875,0.67651,0.52683,0.57363,0.2689,1.86743,1.52586,1.53908,0.000473668,0.000473668,0.000473668
19,882,2.20815,2.45228,1.71425,0.57351,0.58253,0.56152,0.26687,1.88849,1.56472,1.56251,0.00045953,0.00045953,0.00045953
20,927.81,2.1678,2.38154,1.68283,0.64773,0.60523,0.63064,0.30817,1.85576,1.4688,1.50292,0.000445393,0.000445393,0.000445393
21,974.043,2.16803,2.37241,1.67801,0.67703,0.60749,0.60848,0.29519,1.90353,1.45437,1.53602,0.000431256,0.000431256,0.000431256
22,1019.08,2.12191,2.32703,1.6558,0.63384,0.5878,0.59194,0.28796,1.85471,1.45278,1.52451,0.000417119,0.000417119,0.000417119
23,1065.41,2.13554,2.31703,1.66302,0.59819,0.60584,0.62284,0.30031,1.85038,1.43235,1.51462,0.000402982,0.000402982,0.000402982
24,1109.62,2.1365,2.33819,1.65155,0.62044,0.61514,0.61671,0.30686,1.86961,1.44422,1.54866,0.000388844,0.000388844,0.000388844
25,1154.5,2.12305,2.31572,1.65554,0.5833,0.59224,0.59097,0.28199,1.9055,1.48008,1.54271,0.000374707,0.000374707,0.000374707
26,1199.08,2.12193,2.33437,1.66041,0.73447,0.57852,0.61269,0.29753,1.87143,1.43528,1.54942,0.00036057,0.00036057,0.00036057
27,1245.79,2.09505,2.25202,1.64457,0.71339,0.62584,0.65439,0.31585,1.86648,1.38669,1.51364,0.000346433,0.000346433,0.000346433
28,1291.21,2.05568,2.20796,1.61692,0.61762,0.65036,0.65037,0.31899,1.84476,1.36547,1.49944,0.000332296,0.000332296,0.000332296
29,1336.93,2.08314,2.24072,1.62947,0.58931,0.60928,0.62613,0.30972,1.82187,1.45298,1.51874,0.000318158,0.000318158,0.000318158
30,1382.05,2.07066,2.20696,1.6276,0.63816,0.64091,0.63455,0.31167,1.84078,1.36196,1.50266,0.000304021,0.000304021,0.000304021
31,1427.52,2.05381,2.18259,1.61032,0.6088,0.64895,0.6343,0.32373,1.81539,1.35988,1.48681,0.000289884,0.000289884,0.000289884
32,1472.96,2.03881,2.17803,1.59479,0.63913,0.65643,0.6495,0.31269,1.82437,1.35436,1.5047,0.000275747,0.000275747,0.000275747
33,1519.21,2.03419,2.17271,1.60054,0.61184,0.64818,0.65176,0.31754,1.82285,1.33227,1.49071,0.00026161,0.00026161,0.00026161
34,1564.01,2.00631,2.1259,1.57078,0.63027,0.60987,0.62304,0.3003,1.83914,1.35705,1.49595,0.000247472,0.000247472,0.000247472
35,1609.72,2.01856,2.17802,1.59708,0.66577,0.61177,0.64584,0.32546,1.8306,1.31283,1.51363,0.000233335,0.000233335,0.000233335
36,1655.17,2.01365,2.13418,1.5844,0.67586,0.63569,0.65934,0.32916,1.82889,1.30528,1.50141,0.000219198,0.000219198,0.000219198
37,1700.47,2.01043,2.1177,1.57692,0.64857,0.6603,0.66312,0.3316,1.85461,1.30952,1.51522,0.000205061,0.000205061,0.000205061
38,1745.77,1.99489,2.09997,1.57751,0.68723,0.63727,0.6767,0.33058,1.82965,1.28271,1.48254,0.000190924,0.000190924,0.000190924
39,1790.17,1.98353,2.09344,1.56669,0.67136,0.66481,0.67117,0.33815,1.82087,1.2613,1.47394,0.000176786,0.000176786,0.000176786
40,1835.3,1.96439,2.04686,1.5476,0.64001,0.66844,0.66054,0.33485,1.82658,1.27624,1.4795,0.000162649,0.000162649,0.000162649
41,1880.79,2.06143,2.12374,1.589,0.67152,0.66101,0.66786,0.33115,1.81897,1.29995,1.48308,0.000148512,0.000148512,0.000148512
42,1925.26,2.02332,2.06182,1.56561,0.70074,0.63837,0.65928,0.32843,1.79417,1.25685,1.46862,0.000134375,0.000134375,0.000134375
43,1969.22,2.01005,2.04153,1.55328,0.68002,0.65201,0.67536,0.3418,1.78778,1.23384,1.48067,0.000120238,0.000120238,0.000120238
44,2013.74,1.99005,1.98267,1.54997,0.66822,0.67042,0.6868,0.34564,1.83704,1.2474,1.50259,0.0001061,0.0001061,0.0001061
45,2058.03,1.98779,1.99254,1.53465,0.6448,0.68296,0.68106,0.3518,1.7967,1.20939,1.47237,9.19632e-05,9.19632e-05,9.19632e-05
46,2101.76,1.94907,1.93482,1.51415,0.63049,0.65885,0.66424,0.33571,1.80826,1.24116,1.4725,7.7826e-05,7.7826e-05,7.7826e-05
47,2145.8,1.93775,1.93611,1.52492,0.64299,0.69631,0.6807,0.33636,1.8142,1.22851,1.48058,6.36888e-05,6.36888e-05,6.36888e-05
48,2189.97,1.91402,1.89235,1.49837,0.65788,0.68777,0.67977,0.34333,1.79504,1.22441,1.48736,4.95516e-05,4.95516e-05,4.95516e-05
49,2233.71,1.89019,1.8826,1.49613,0.63396,0.69907,0.67299,0.34363,1.80242,1.21906,1.48791,3.54144e-05,3.54144e-05,3.54144e-05
50,2279.3,1.89368,1.86337,1.48965,0.64748,0.67567,0.68008,0.35032,1.81142,1.19524,1.48921,2.12772e-05,2.12772e-05,2.12772e-05
